id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,created_at,url,image_url,latitude,longitude,private_latitude,private_longitude,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
77136673,7c1c9a0d-4026-481f-bcf3-3195536abf96,2021/05/02 11:54 AM EDT,2021-05-02,2021-05-02 15:54:00 UTC,Eastern Time (US & Canada),2021-05-04 00:14:26 UTC,https://www.inaturalist.org/observations/77136673,https://inaturalist-open-data.s3.amazonaws.com/photos/126137431/medium.jpeg,40.2667063795,-75.3845372022,,,Montgomery,Horn-faced Mason,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
78607853,aa8c19ea-83cb-46d2-9ed1-fdda53cd01c9,2021/05/13 2:07 PM EDT,2021-05-13,2021-05-13 18:07:00 UTC,Eastern Time (US & Canada),2021-05-13 18:42:34 UTC,https://www.inaturalist.org/observations/78607853,https://static.inaturalist.org/photos/128665375/medium.jpeg,41.4287069346,-79.7135289371,,,Venango,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
78634102,7649ac8e-e52c-4d4c-91b0-ed89704664f2,2021/05/12 4:46 PM EDT,2021-05-12,2021-05-12 20:46:00 UTC,Eastern Time (US & Canada),2021-05-13 22:29:23 UTC,https://www.inaturalist.org/observations/78634102,https://inaturalist-open-data.s3.amazonaws.com/photos/128710666/medium.jpeg,39.9403312039,-75.5917016426,,,Chester,Georgia Mason Bee,Osmia georgica,Georgia Mason Bee,Insecta,226669
78909556,d18baa84-2fce-46a0-a3a7-923e576573e7,Sat May 15 2021 18:33:37 GMT-0400 (EDT),2021-05-15,2021-05-15 22:33:37 UTC,Eastern Time (US & Canada),2021-05-15 22:59:02 UTC,https://www.inaturalist.org/observations/78909556,https://inaturalist-open-data.s3.amazonaws.com/photos/129191186/medium.jpg,40.3693955945,-79.5462343882,,,Westmoreland,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
79033690,552d935e-09c0-4159-a804-eeb78623330b,Sun May 16 2021 14:26:21 GMT-0400 (EDT),2021-05-16,2021-05-16 18:26:21 UTC,Eastern Time (US & Canada),2021-05-16 18:34:17 UTC,https://www.inaturalist.org/observations/79033690,https://inaturalist-open-data.s3.amazonaws.com/photos/129406513/medium.jpg,41.6533622585,-80.1419407311,,,Crawford,Taurus Mason Bee,Osmia taurus,Taurus Mason Bee,Insecta,461507
79305031,f886ec48-30ef-4d2e-b109-f8c7577cff30,Tue May 18 2021 11:24:58 GMT-0400 (EDT),2021-05-18,2021-05-18 15:24:58 UTC,Eastern Time (US & Canada),2021-05-18 18:46:07 UTC,https://www.inaturalist.org/observations/79305031,https://inaturalist-open-data.s3.amazonaws.com/photos/129884807/medium.jpg,40.0896763423,-75.3424131652,,,Philadelphia,Georgia Mason Bee,Osmia georgica,Georgia Mason Bee,Insecta,226669
81195847,ac5dd975-aafd-4426-b4e8-3d0fecd51324,2021-04-24 11:47:34 AM EDT,2021-04-24,2021-04-24 15:47:34 UTC,Eastern Time (US & Canada),2021-06-01 17:05:28 UTC,https://www.inaturalist.org/observations/81195847,https://inaturalist-open-data.s3.amazonaws.com/photos/133154456/medium.jpeg,40.3098993479,-76.8977968925,,,Cumberland,Horn-faced Mason,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
83062580,5aac0f7e-01b4-4e41-854c-fd44006bb954,2021-04-13 17:32:05,2021-04-13,2021-04-13 21:32:05 UTC,Eastern Time (US & Canada),2021-06-14 22:32:13 UTC,https://www.inaturalist.org/observations/83062580,https://inaturalist-open-data.s3.amazonaws.com/photos/136386366/medium.jpeg,40.5197318,-78.0015953997,,,Huntingdon,Horn-faced Mason,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
83550526,c75193e2-652c-4d1b-a273-571894d2ff11,Tue Jun 15 2021 10:14:34 GMT-0400 (EDT),2021-06-15,2021-06-15 14:14:34 UTC,Eastern Time (US & Canada),2021-06-18 20:27:13 UTC,https://www.inaturalist.org/observations/83550526,https://inaturalist-open-data.s3.amazonaws.com/photos/137231666/medium.jpg,39.8370283333,-78.0487888333,,,Fulton,Bufflehead Mason Bee,Osmia bucephala,Bufflehead Mason Bee,Insecta,199125
105638111,ce5fc4fe-b3f1-4e24-9e93-c0e26c19a31d,Sat Apr 20 2019 17:10:08 GMT-0400 (EDT),2019-04-20,2019-04-20 21:10:08 UTC,Eastern Time (US & Canada),2022-01-26 23:50:10 UTC,https://www.inaturalist.org/observations/105638111,https://inaturalist-open-data.s3.amazonaws.com/photos/177288385/medium.jpg,40.1124888333,-80.0100111167,,,Washington,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
107903172,89e3ce75-5e2b-455b-a14e-f0f74eb6dd22,2021/04/04 3:13 PM EDT,2021-04-04,2021-04-04 19:13:00 UTC,Eastern Time (US & Canada),2022-03-04 19:36:22 UTC,https://www.inaturalist.org/observations/107903172,https://static.inaturalist.org/photos/181568130/medium.jpg,39.9020565,-75.3499123,,,Delaware,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
110794137,59bce58d-2225-43d7-855e-6cd573b3eaf2,2022-04-08 09:57:23,2022-04-08,2022-04-08 13:57:23 UTC,Eastern Time (US & Canada),2022-04-08 22:51:39 UTC,https://www.inaturalist.org/observations/110794137,https://inaturalist-open-data.s3.amazonaws.com/photos/186958220/medium.jpeg,40.799807,-77.862249,,,Centre,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
111138394,b51df53a-b2f8-4486-9ae3-8662efd52ec5,2022-04-11 15:37:26,2022-04-11,2022-04-11 19:37:26 UTC,Eastern Time (US & Canada),2022-04-11 21:50:26 UTC,https://www.inaturalist.org/observations/111138394,https://inaturalist-open-data.s3.amazonaws.com/photos/187578047/medium.jpeg,41.40831574,-75.64635523,,,Lackawanna,Horn-faced Mason Bee,Osmia cornifrons,Horn-faced Mason Bee,Insecta,121508
